author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,leaning,keyword
"By <a href=""/profiles/meg-wagner"">Meg Wagner</a>, <a href=""/profiles/fernando-alfonso-iii"">Fernando Alfonso III</a>, Melissa Macaya, <a href=""/profiles/melissa-mahtani"">Melissa Mahtani</a>, <a href=""/profiles/veronica-rocha"">Veronica Rocha</a> and <a href=""/profiles/amanda-wills"">Amanda Wills</a>, CNN",Election results live: Joe Biden elected president,Joe Biden has won the presidency. Follow here for the latest.,https://www.cnn.com/politics/live-news/trump-biden-election-results-11-07-20/h_b26179e4615d299ab906f5880dc0fc98,https://dynaimage.cdn.cnn.com/cnn/digital-images/org/9eb60051-c3a2-4fb2-9255-64d307e7b1b7.jpg,2020-11-07T11:02:11Z,"President-elect Joe Biden sent a message to those who voted for President Trump, calling for unity and reconciliation. 
""Now for all those of you who voted for President Trump, I understand your dis… [+1023 chars]",cnn,CNN,mod_left,president
"By <a href=""/profiles/meg-wagner"">Meg Wagner</a>, <a href=""/profiles/fernando-alfonso-iii"">Fernando Alfonso III</a>, Melissa Macaya, <a href=""/profiles/melissa-mahtani"">Melissa Mahtani</a>, <a href=""/profiles/veronica-rocha"">Veronica Rocha</a> and <a href=""/profiles/amanda-wills"">Amanda Wills</a>, CNN",Election results live: Joe Biden elected president,Joe Biden has won the presidency. Follow here for the latest.,https://www.cnn.com/politics/live-news/trump-biden-election-results-11-07-20/h_1af716903b7402bc31d79033b2667d8c,https://cdn.cnn.com/cnnnext/dam/assets/201030082605-04-trump-biden-election-night-split-super-tease.jpg,2020-11-07T11:02:11Z,"The cars have started to arrive in the parking lot of the Chase Center for the biggest show in Wilmington, Delaware, tonight: A drive-in rally for the victory rally for President-elect Joe Biden and … [+853 chars]",cnn,CNN,mod_left,president
"By <a href=""/profiles/meg-wagner"">Meg Wagner</a>, <a href=""/profiles/fernando-alfonso-iii"">Fernando Alfonso III</a>, Melissa Macaya, <a href=""/profiles/melissa-mahtani"">Melissa Mahtani</a>, <a href=""/profiles/veronica-rocha"">Veronica Rocha</a> and <a href=""/profiles/amanda-wills"">Amanda Wills</a>, CNN",Election results live: Joe Biden elected president,Joe Biden has won the presidency. Follow here for the latest.,https://www.cnn.com/politics/live-news/trump-biden-election-results-11-07-20/h_0ad95627e7d03a19231b55127e9b39d3,https://cdn.cnn.com/cnnnext/dam/assets/201030082605-04-trump-biden-election-night-split-super-tease.jpg,2020-11-07T11:02:11Z,"Minnesota Sen. Amy Klobuchar said that President-elect Joe Biden and Vice President-elect Kamala Harris will work on building a big coalition to unite Democratic and GOP lawmakers. 
I was buoyed by … [+1658 chars]",cnn,CNN,mod_left,president
,Photos: A Look Back at Moments That Shaped the Campaign,"From a crowded field of Democratic contenders, Joe Biden emerged to challenge and beat President Trump amid a deadly pandemic and restive summer of protests against racism and police brutality",https://www.wsj.com/articles/photos-a-look-back-at-moments-that-shaped-the-campaign-11604809543,https://images.wsj.net/im-256929/social,2020-11-08T04:25:00Z,,the-wall-street-journal,The Wall Street Journal,moderate,president
BBC News,'My message to Republican friends',Supporters of US President-Elect Joe Biden give their message to people who voted for Donald Trump.,http://www.bbc.co.uk/news/election-us-2020-54859464,https://ichef.bbci.co.uk/images/ic/400xn/p08xrfx3.jpg,2020-11-08T03:22:24.4594575Z,"US President-Elect Joe Biden has spoken of his wish to ""unify"" the United States, in his first speech since his election win.
Some of those who voted for Joe Biden tell the BBC what their message wo… [+86 chars]",bbc-news,BBC News,moderate,president
Jonathan Easley,Biden vows to heal divided nation | TheHill,President-elect Joe Biden in a victory speech Saturday night vowed to heal a nation to...,http://thehill.com/homenews/campaign/524992-biden-vows-to-heal-divided-nation,https://thehill.com/sites/default/files/bidenjoebidenjill.victory.1107.jpg,2020-11-08T03:08:17Z,"President-elect Joe BidenJoe BidenBiden claims a 'mandate' to govern, calls for end to 'partisan warfare'Mark Meadows tests positive for coronavirusTrump supporters scream at Telemundo reporter durin… [+6408 chars]",the-hill,The Hill,moderate,president
Marty Johnson,Harris celebrates 'new day for America' in first speech as vice president-elect | TheHill,Sen. Kamala Harris (D-Calif.) on Saturday delivered an emotional victory speech as the vice...,http://thehill.com/homenews/campaign/524990-harris-celebrates-new-day-for-america-in-first-speech-as-vice-president,https://thehill.com/sites/default/files/harriskamala.victory1107.jpg,2020-11-08T02:12:30Z,"Sen. Kamala HarrisKamala HarrisGeorgia Senate race between Perdue, Ossoff heads to runoffTrump says Biden should not 'wrongfully' claim victory in presidential raceOvernight Health Care: Election res… [+3831 chars]",the-hill,The Hill,moderate,president
,Crowds React to President-Elect Joe Biden’s Win,"Around the country, Americans reacted to the news of Joe Biden’s win after the Associated Press and other news organizations called the presidential election in favor of the former vice president. Photo: Getty Images",https://www.wsj.com/video/crowds-react-to-president-elect-joe-bidens-win/F2D8F828-8CF1-4DAE-AD7B-170F5B02D3C8.html,http://m.wsj.net/video/20201107/bidenwinsightsandsounds/bidenwinsightsandsounds_1280x720.jpg,2020-11-08T01:52:41.0929201Z,"Inside the Tear of God: A Unique House on Crete That Filters the Sun
9/7/2020For his home on Crete, Greeces largest island, George Kalykakis wanted something unique. He got a sculptural structure, n… [+117 chars]",the-wall-street-journal,The Wall Street Journal,moderate,president
"Bojan Pancevski, Paul Vieira, Ann Simmons",World Leaders Ready Themselves for a Biden Presidency,"Global leaders congratulated Joe Biden on his election win, as some allies of President Trump stayed silent",https://www.wsj.com/articles/world-leaders-ready-themselves-for-a-biden-presidency-11604798959,https://images.wsj.net/im-256901/social,2020-11-08T01:29:00Z,"After a drawn-out vote count that transfixed not just the U.S. but most of the world, many global leaders on Saturday were quick to respond to former Vice President Joe Bidens election victory, with … [+326 chars]",the-wall-street-journal,The Wall Street Journal,moderate,president
BBC News,Kamala Harris: The many identities of the first woman vice-president,"The California senator will make history as the first female, black and Asian American vice-president.",http://www.bbc.co.uk/news/election-us-2020-53728050,https://ichef.bbci.co.uk/news/1024/branded_news/941E/production/_113881973_gettyimages-1183681979.jpg,2020-11-07T23:37:29.1305909Z,"By Holly Honderich and Samanthi DissanayakeBBC News
image copyrightGetty Images
Kamala Harris savoured the moment she became the first woman, and the first black and Asian American, to be vice-pres… [+8489 chars]",bbc-news,BBC News,moderate,president
